id,parent,reply,character
4158,"Hey, Jim. It’s Pam.",Hey Pam! How are you?,Jim
4159,It’s great.,The phone has been ringing off the hook. The guys in Philly are kind of going nuts.,Pam
4160,You probably won’t.,"You know what, Pam? If in ten years, I haven’t had a baby, and you haven’t had a baby…",Michael
4161,"If they get married before I do, I’m going to kill myself.",Who’s getting married?,Michael
4162,Can I show you a few samples?,"Oh, we’re not interested. We’re not interested at all.",Pam
4163,"Michael, I didn’t get a gift bag.","Well, they’re just for guests. If there are any left over, you can buy one later.",Michael
4164,"Uh, that’s not what was-","And two, that stuff that happened with you and Angela is a bummer, and I know you don’t think you’re ever gonna find someone else, but you will. I promise you, you will.",Jim
4165,Yes ma’am.,I thought I was very specific about you not letting up a magician.,Pam
4166,"Hey, mon!",Hey. You have a bunch of messages and… that’s nice. Hannah quit while you were gone. I guess she memo-ed to file some complaints she had about being a working mother? And so you might also have to be deposed.,Pam
4167,"Delta Burke, I do declare. Now, shall we get to the mystery?",I’ll go. My name is Deborah U. Tante. Deb for short.,Pam
4168,"Hey, I’m going to go outside and talk to Dwight.","Okay great. Yeah, I’ll see you in a second. Wait, what? Oh! Oh no!",Pam
4169,"Sure. Let’s protect the convicts. At the expense of the general feeling of safety in the workplace. As a 90-pound female that sits in an ill-lit, rarely-visited corner of the office, naturally I agree with that.",Good. All right.,Michael
4170,"See, we knew it! If he just met her, he’d understand.",We’re back in! Right?,Jim
4171,I don’t get it.,"I bought it. It’s ours. Let’s go inside, I’ll show you inside. So if you can believe it I did it without a realtor. Saving on closing costs is good and, uh, we can put all the money to de-shag the carpet. Which I think will help, the color situation. Yeah, I am really sorry about this. I tried to move it but he is really nailed in there. Worried about art theft, I guess, lot of art theives in this neighborhood. This is the master bedroom but, I’m actually not allowed in here so…",Jim
4172,"No, not at all.",It’s very important.,Pam
4173,"Oh, queer… eye. Queer eye. That’s a good show. Important show. Go ahead. Do it.",Just have Dwight punch you.,Jim
4174,"Everybody hurts,",Come on Dwight! Use words.,Jim
4175,"Yes, of course. I believe in you. I believe in your art. And I am bored.",Great.,Pam
4176,An idea bigger than the Grand Canyon?,"Yes, indeed. Yes Kevin.",Michael
4177,Does he have access to their medical records?,Ummmm…,Pam
4178,And we don’t know how.,"But Andy does, so we have to watch it with him.",Pam
4179,"Beesly, are you threatening me?","Jim. Jim, Jim, Jim. I’m not threatening you. I love you. But you should know, you’re on very dangerous ground . All right.",Pam
4180,"Damn it, Jim, you cannot throw snowballs in here!","Well, it’s not a snowball, ’cause it’s only a dusting. Right?",Jim
4181,"Uh, duh.",Duh.,Jim
4182,"Uh, it’s a condo and it’s long-term business housing.",You know where it is. Lead me there.,Dwight
4183,Let’s get our juice on.,Yeah!,Jim
4184,Really?,Yeah.,Jim
4185,Right… Executive assistant.,Salesman.,Pam
4186,I was still thinking of going back to school.,And I was still just a paper salesman.,Jim
4187,"If you still want a honeymoon. Hey, Halpert. Keep an eye on her, all right?","Okay, will do.",Jim
4188,"Hey, I could get some flares from my car.","No, no. Shake it off, everybody. Just, let’s do Secret Santa.",Michael
4189,Yes.,"Oh, boy… look at you! Haha. Showing your colors. Bet you wish you wore a dress every day.",Michael
4190,"Oh, come on. Not even Roy will have hot dogs at his wedding.",Planned a wedding with him. He wanted hot dogs.,Pam
4191,Don’t.,I’m just saying that I think I agree with your point.,Michael
4192,"Oh, what’s this?",That is a demerit.,Dwight
4193,One…,We have discount prices on ink cartridges…,Jim
4194,You know what you should do? Take a vacation.,"Maybe go to Sandals, Jamaica. Or the other Sandals, Jamaica. I just don’t want to go by myself.",Michael
4195,"Buddha this bread for me, won’t you?",Great.,Pam
4196,"This is Jim Halpert, leave a message.","Hey honey, it’s me. Just trying to catch you before going home. Um, oh, well just give me a call whenever. Hope your day got better. Love you.",Pam
4197,Just don’t get back together with her.,What if she makes me?,Michael
4198,I hope you don’t mind me bringing you out here. I can’t get my knees under a desk.,Are you kidding me? I can literally scalp tickets to this.,Jim
4199,Ok.,"And, I’m freaking out.",Pam
4200,Addition by subtraction.,What does that even mean? That is impossible.,Michael
4201,"Well I did show my face around these parts, you old bastard.","Why, you’re some sorta wise guy, huh?",Michael
4202,"Haha, we struck the mother load!",Cmon.,Dwight
4203,Andy Bernard. Regional Director in Charge of Sales.,"So you’ll be reporting to me, then.",Dwight
4204,What?,Juvie… nile… Detention Center. Where they send teenagers!,Dwight
4205,"No, man. You’re– you’re fine.",We have to come from a position of strength.,Pam
4206,W—Wow. Um. Well… okay.,That means another twelve weeks. Can you do this for another three months?,Pam
4207,One minute ago.,Okay. And how do you feel?,Jim
4208,"Okay, hey, hey, hey…","No, fake girlfriends are always wrong.",Jim
4209,What’s… what’s the matter? What… what happened in there?,I can’t tell you.,Michael
4210,"Don’t ever let this little bitch drive you around town. We got, uh, lost for half an hour.","I don’t have any DUI’s so I can drive myself, but thanks.",Pam
4211,"Andy put down a bunch of deposits on stuff for his wedding with Angela, but then she was sleeping with Dwight for… several years. Wait, no, that can’t be right.",The timeline’s messy.,Pam
4212,An Earl Grey tea for the lady.,"Oh, thank you. I acknowledge and appreciate that you went out of your way to get me tea.",Pam
4213,"Good. Excellent, it’ll be fun. Because corporate, uh, wants someone to be here on Saturday. And so we’re going to have to have some people come in on the weekend, and I know nobody’s gonna want to do it and I know everybody’s gonna complain and bitch and I don’t want to have to deal with that.",And that’s why you have an assistant regional manager.,Dwight
4214,"Michael, why did you promise that?",To change lives.,Michael
4215,Chocolates? Someone famous?,Yes,Michael
4216,I’ll do the best I can.,Are you kidding me?,Michael
4217,"Ladies and gentlemen, your boss, Michael Scott.","Ahh, still lame. Okay. All right. Thank you, Ryan, for that wonderful introduction. Okay, um, today we’re gonna be talking… about…PowerPoint! PowerPoint! PowerPoint! PowerPoint!",Michael
4218,It’s terrible.,No.,Michael
4219,Bye.,Hey! I…,Jim
4220,By any means necessary?,What does that even mean? What are you… What are you talking about?,Michael
4221,I would love that.,"So Jim and I are getting married and the wedding’s really expensive. So I tried to get a job on the weekends to earn extra money. I applied to Old Navy, Target and Wal-mart. None of ’em called me back. Not even for an interview.",Pam
4222,Is there a limit?,Your body only has a certain amount.,Michael
4223,"Thank you, I appreciate that. ‘Cause a lot of people are saying I might not make it.","Oh, I doubt you’ll make it. Very few do who’ve tried to be a star. But, listen, you’ve saved up enough money to take a couple of years off to pursue your dream and have some fun, right?",Dwight
4224,What?,The Electric City. Call poison control if you’re bit by a spider.,Michael
4225,Say what?,We are good to goooo!,Pam
4226,"Michael, you shouldn’t do anything that you’re uncomfortable with.",Jan says anything that doesn’t scare us is not worth doing. I don’t know. Maybe we’re different people. I like cuddling and spooning and she likes videotaping us during sex.,Michael
4227,Oh–,"I came here hoping to meet somebody. You know, as you do at weddings. End up going to sleep by the vending machine. It was loud, but it was warm.",Michael
4228,"Well, then I will get a warrantee.","Warrantees don’t cover it, plus they’re a rip-off.",Dwight
4229,"No, not a uterus joke Dwight. Please. Something useable. A joke.","If I find a joke for you, will you grant me immunity?",Dwight
4230,"There is a small company there, Prince Paper. I can’t get a report on it because it’s not a public company. But we have been talking about going after their market, so I was hoping you could do some fact finding for me.",Okay.,Michael
4231,"Ho, thirty years.","Ok, ok, ok.",Michael
4232,You do not have what it takes to be a regional manager.,That’s harsh.,Jim
4233,Yes!,OK.,Jim
4234,"Well, I can’t, I don’t know how.",You’re just gonna somersault around for the rest of your life and you know what’s going to be on your tombstone? Loser.,Michael
4235,We’re not allowed to use the baler.,"Have Pa–adge do it, or… the sea monster.",Michael
4236,Hi.,"This is Darryl Philbin. Isn’t he big? And you already met her, Pam Beesly, office hottie. She will “do” you. No, no. But she has already dated two guys in the office, that we know of, so, this could be number three, you never know?",Michael
4237,Good news that you found our leads?,No! Better!,Michael
4238,Typical American ignorance that got us involved in a war we never should have been in. World War II.,"That’s a really… well fine, Do the German instructions say what this is supposed to do?",Pam
4239,No.,"You don’t have to wait that long. I mean, you don’t have to wait a month to ask her out. Just ask her out.",Pam
4240,Well then… hey you know what then let’s just talk.,That’s okay I can… I’m fine. I’ll just play a song in my head.,Pam
4241,"Excuse me, I’m sorry to interrupt, uh, I need to see Pam. There seems to be, like, something wrong with the radiator in her car.","Okay, fine. Hurry back.",Michael
4242,Dwight we got five strikes.,Really?,Dwight
4243,MIS… MI… What are you doing?,"Hey, I have a question. Who do you think is really the best salesman in this office?",Jim
4244,Run what?,"Amok. It means, don’t let your imagination run out of control.",Pam
4245,Yeah!,Oh no you ain’t!,Pam
4246,Back!,"Oh, wow! What did you do?",Michael
4247,Just let me know.,All right. See you around.,Michael
4248,I am.,"Meredith recently had a total hysterectomy, so that’s sort of a repair. Alright, I’ll let you guys talk.",Michael
4249,Umm… I’m number three.,You’re number four.,Dwight
4250,Get outta here.,"No, you get outta here.",Michael
4251,Well I like being in the same building as Bob. Keeps me honest.,"Well, this building isn’t far, and its much newer. There’s a dry cleaner, nail place and a gym. Oh, and it’s next-door to and Outback so it always smells like steak.",Pam
4252,Toby Flenderson is everything that is wrong with the paper industry. Is he why you left?,"Oh, no, it was… you know, a good opportunity for me, a promotion. I got a chance to…",Jim
4253,Yeah? You like it?,Yeah.,Jim
4254,It’s just hard to explain.,"Aw, Pam, you’re adorable",Dwight
4255,Fine.,So maybe you’re not completely ethical after all.,Jim
